Name of School,"Elementary, Middle, or High School",Street Address,ZIP Code,Link ,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name,Ward,Police District,probation,Id
John Spry Elementary Community School,ES,2400 S Marshall Blvd ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610184.pdf,No,Strong,66.0,Average,59,Strong,70.0,Strong,67.0,Average,52,Average,43,Weak,46,Average,48,96.2%,5.9,97.4%,99.0%,44.4,12.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,18.7,13.3,17.9,7.3,1.7,1.1,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,809,39,NDA,30,SOUTH LAWNDALE,12,10,0,610184
Thomas A Edison Regional Gifted Center Elementary School,ES,4929 N Sawyer Ave ,60625,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609794.pdf,No,Very Strong,91.0,NDA,NDA,Strong,64.0,Average,56.0,NDA,NDA,NDA,NDA,Strong,55,Strong,57,96.6%,1.9,96.3%,100.0%,NDA,NDA,92,97.8,52.8,57.6,93.1,98.9,55.2,60.4,80,96.7,79.0,88.4,1.8,1.6,Green,Green,31.8,78.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,269,31,NDA,14,ALBANY PARK,39,17,0,609794
Milton Brunson Math & Science Specialty Elementary School ,ES,932 N Central Ave ,60651,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609830.pdf,No,Weak,30.0,NDA,NDA,Weak,30.0,Average,45.0,NDA,NDA,NDA,NDA,Average,47,Strong,55,91.3%,16.6,95.0%,100.0%,64.4,43.9,21.1,18.7,44.4,36.4,22.6,19,33.6,45.2,3.4,8.6,8.8,5.4,-0.3,-0.6,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,658,36,NDA,25,AUSTIN,29,15,1,609830
Emil G Hirsch Metropolitan High School,HS,7740 S Ingleside Ave ,60619,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609712.pdf,No,Very Weak,13.0,Average,46,Weak,28.0,Weak,28.0,Average,52,Average,50,NDA,NDA,NDA,NDA,84.8%,47.1,95.4%,88.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,11.5,11.2,12.9,12.4,0.9,14.1,1.2,10.8,36.2,45.1,458,46,69.5,69,GREATER GRAND CROSSING,8,6,1,609712
Lawndale Elementary Community Academy,ES,3500 W Douglas Blvd ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610034.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,91.0%,18.8,94.8%,98.0%,43.4,NDA,17.2,10,34,44,21.1,15.9,45.2,47,0,2,3.3,4.0,-2.1,-2.2,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,508,37,NDA,29,NORTH LAWNDALE,24,10,1,610034
Dr  Martin Luther King  Jr  College Prep High School,HS,4445 S Drexel Blvd ,60653,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609751.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Strong,56,Average,52,92.9%,4.4,96.3%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,17.4,17.7,17.7,18.1,0.7,20.5,2.8,31.9,75.4,85.1,915,40,91.1,39,KENWOOD,4,2,0,609751
William C Reavis Math & Science Specialty Elementary School,ES,834 E 50th St ,60615,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610143.pdf,No,Average,48.0,Very Weak,6,Weak,37.0,Weak,26.0,Very Weak,10,Very Weak,15,Weak,45,Average,47,93.5%,37.2,94.8%,98.2%,47.2,NDA,31,29.5,43.5,51.9,19.1,23.4,38.5,48.4,3.2,16.1,5.8,10.1,-0.7,0.0,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,311,42,NDA,39,KENWOOD,4,2,1,610143
Alfred Nobel Elementary School,ES,4127 W Hirsch St ,60651,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610098.pdf,No,Weak,37.0,Weak,34,Weak,37.0,Weak,35.0,Average,48,Weak,36,Average,48,Average,51,94.6%,24.8,95.2%,100.0%,55.4,33.2,26.7,23.2,47.3,50,39.2,28.1,59.5,51,15.2,16.7,9.7,7.1,-0.3,0.7,Yellow,Yellow,23.4,44.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,801,34,NDA,23,HUMBOLDT PARK,37,25,0,610098
Roger C Sullivan High School,HS,6631 N Bosworth Ave ,60626,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609733.pdf,No,Weak,30.0,Average,44,Weak,34.0,Weak,34.0,Average,42,Weak,33,Weak,44,Weak,45,81.6%,14.7,95.8%,94.4%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.6,13.2,13.8,13.5,0.9,15.4,1.6,14.8,39.3,52.1,826,32,68.6,1,ROGERS PARK,40,24,1,609733
Neal F Simeon Career Academy High School,HS,8147 S Vincennes Ave ,60620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609692.pdf,No,Average,52.0,NDA,NDA,Weak,33.0,Average,42.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,78.6%,2.1,94.3%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.3,14.1,15.3,14.8,0.5,16.2,0.9,14.8,75.2,74,1535,45,68.5,44,CHATHAM,21,6,1,609692
George B McClellan Elementary School,ES,3527 S Wallace St ,60609,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610062.pdf,No,Average,49.0,NDA,NDA,Weak,33.0,Average,40.0,NDA,NDA,NDA,NDA,Average,53,Average,47,93.2%,7.8,96.0%,98.6%,40.5,17.4,35.2,26.8,65.2,55.1,33.9,39.7,57.6,58.3,27.8,22.2,22.7,21.3,0.0,0.9,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,283,40,NDA,60,BRIDGEPORT,11,9,1,610062
Edward White Elementary Career Academy,ES,1136 W 122nd St ,60643,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610315.pdf,No,Weak,27.0,NDA,NDA,Average,44.0,Average,48.0,NDA,NDA,NDA,NDA,Average,51,Weak,46,93.8%,31.0,96.7%,100.0%,64.9,35.1,16.3,32.6,67.6,47.4,31.6,34.2,57.6,81.8,14.3,28.6,7.4,7.4,1.9,1.2,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,138,49,NDA,53,WEST PULLMAN,34,5,1,610315
William Rainey Harper High School,HS,6520 S Wood St ,60636,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609711.pdf,No,Weak,22.0,Weak,32,Weak,39.0,Average,42.0,Weak,31,Weak,31,Average,49,Average,53,73.0%,63.6,94.7%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.2,11.9,13.1,13.4,1.2,14.4,1.3,5.9,37,40.3,621,43,64.2,67,WEST ENGLEWOOD,15,7,1,609711
Hyde Park Academy High School,HS,6220 S Stony Island Ave ,60637,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609713.pdf,No,Weak,29.0,Weak,39,Weak,34.0,Average,43.0,Weak,35,Average,41,NDA,NDA,NDA,NDA,70.5%,18.5,94.2%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13,12.8,14.4,14.1,1.1,15.6,1.2,11.1,51.1,57.6,1518,46,63.7,42,WOODLAWN,5,3,1,609713
Dr Jorge Prieto Math and Science,ES,2231 N Central Ave ,60639,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610533.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Average,52,Strong,58,94.7%,7.0,96.9%,100.0%,48.4,19.5,33.8,19.9,43.1,55,44.2,30,56.9,47.8,12.1,28.9,14.6,8.6,-0.7,-0.7,Red,Red,17.5,52.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1001,29,NDA,19,BELMONT CRAGIN,37,25,0,610533
Alfred David Kohn Elementary School,ES,10414 S State St ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610028.pdf,No,Very Weak,19.0,Weak,26,Weak,22.0,Very Weak,13.0,Weak,21,Very Weak,19,Average,47,Weak,45,90.1%,31.2,94.2%,96.4%,41.3,31.9,34,22.2,42.8,56.2,29.6,22.8,80,61.7,4.3,19.6,5.0,5.6,0.5,-0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,428,48,NDA,49,ROSELAND,34,5,1,610028
Lionel Hampton Fine & Performing Arts Elementary School,ES,3434 W 77th St ,60652,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609807.pdf,No,Average,42.0,NDA,NDA,Weak,34.0,Weak,28.0,NDA,NDA,NDA,NDA,Weak,46,Average,51,95.0%,94.9,96.6%,100.0%,59.6,40,35.3,28.6,57.1,56.1,37.6,33.8,52.8,54.6,9,37.2,9.4,9.4,-1.0,0.0,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,658,44,NDA,70,ASHBURN,18,8,1,609807
