id_number,Prediction
834,33.4346041836
6278,28.7616627486
1345,26.4272814286
2972,71.3149657671
1946,48.0326867385
4261,54.9153820225
6561,56.1653846178
6849,50.1439502487
1048,30.1867456064
5892,49.533040373
4246,25.5860448593
6092,74.3166863904
5117,66.2328034172
4605,47.1625600055
952,42.3086488037
3562,52.8853642183
4110,67.4414907374
4159,66.8765990742
2688,22.7720218176
1348,29.1063161999
5701,60.2652732279
1840,49.9283699071
6468,55.3864451881
2765,25.748106118
86,27.2992164488
2093,21.2162461623
812,21.1043280523
6744,83.8551169108
423,19.5994185597
2802,81.1366458562
4061,73.3486795593
2231,62.6576870995
3062,45.9828090065
783,24.6273600102
3623,40.1058573542
3707,54.7291067293
5296,36.2170007188
1261,29.121398987
874,40.7063752012
4297,56.9095867349
3080,38.9390625615
5040,65.9025150718
4439,28.430979277
3138,27.5584684293
4269,65.9713029047
4000,27.15674881
3900,66.4058555692
501,17.8713563928
2066,57.2020769477
1123,67.876924882
4945,23.0568967914
88,54.7569908138
7048,57.6317102416
4751,17.8848653063
5765,63.5651424767
4002,38.6622055821
6704,65.6832413354
2858,28.1725966435
4428,24.6821154552
1430,56.2348010053
6007,55.0393777499
722,67.9891537684
4156,60.8962656768
5849,55.4585955229
1065,23.8061198629
5463,80.2414839218
6889,51.6989616859
3699,44.4923914561
711,67.0329193372
828,74.8046284552
2915,31.2684515119
1066,65.2064092751
2871,19.8780352106
6571,62.4587043757
263,45.3092883005
6427,71.1075447366
1170,87.5018799318
4867,52.4579825874
7059,50.1439502487
3353,55.8364939196
111,68.686164257
3713,79.4868033792
279,20.3755695687
5430,64.6026381401
2197,37.9467790023
490,55.6518857252
4708,25.5422079505
1379,65.7912288117
6091,72.4877042263
7240,75.6582196476
3548,29.0602675595
5035,78.5439673175
3856,68.879171124
1275,80.1610177288
1135,73.0048187709
5236,80.2414839218
5440,23.926729616
5813,63.8822192179
5514,55.3420805062
5100,59.4073040406
2191,37.7704661485
3839,64.745795303
3675,48.4594650057
2387,80.9676683198
6970,64.2693996908
5481,63.5171647207
1508,41.8231213141
3788,37.1491101017
4211,51.3310828914
2630,51.6897562456
1224,73.4706422199
6476,79.2718526366
6736,74.4352321017
784,20.6899199445
4805,66.4831547445
93,53.5583523668
588,49.2971736912
4748,53.2980440788
147,59.0334712468
1626,65.0834267642
3665,20.431846826
3430,49.9925970994
1356,57.6031363993
6903,56.2592611195
4736,57.3316437712
4045,64.8196019059
1460,69.9436269617
4342,57.4078565261
645,64.1525573632
4157,51.3366681448
3617,21.4382940359
3471,56.2440845315
3939,26.896016104
108,22.2144713521
608,81.0318316714
3032,46.0935543415
4236,36.9724540305
6973,63.3663892291
730,23.2452885045
2181,52.6502837479
6282,71.5870084996
6535,70.4276113564
5306,66.0048882306
3201,56.436511088
4927,19.8265655633
4504,68.4259111997
4436,28.4401937785
6534,69.4709522247
387,14.4238474264
6958,80.1392777413
3800,39.1759448099
5200,38.4426981926
107,43.9575095769
863,42.709180206
6429,68.1171670006
2219,30.5981531767
703,77.2037793258
3716,39.726618762
5799,59.3944591473
2305,30.613480361
1574,31.524636995
1903,63.255397784
7270,50.6839392121
5692,61.8825696283
731,34.3194277907
5482,50.3935275668
3609,20.2540518633
4729,62.0523642499
2913,60.9566939687
356,79.4075984015
6654,57.1404088946
5902,63.1303996299
5769,81.080272726
273,21.1176546325
3705,60.3674660431
787,34.2437665403
4309,29.1154137397
3117,70.4513226846
6189,60.4861931455
3754,26.4069258766
