INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,LOCALE,CCUGPROF,CCSIZSET,HBCU,PBI,MENONLY,WOMENONLY,RELAFFIL,DISTANCEONLY,UGDS,AGE_ENTRY,FEMALE,MARRIED,DEPENDENT,MD_FAMINC,percent_on_student_loan,id_number
Panola College,Carthage,TX,75633-2397,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,2,1,32.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,2056.0,25.927664975,0.7068527919,0.1763959391,0.4790609137,19588.54338,26.05,3756
Palo Alto University,Palo Alto,CA,94304-1337,Western Association of Schools and Colleges Senior Colleges and University Commission,1,1,3,4,2,41.0,11.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,194.0,29.712871287,0.7326732673,0.1881188119,0.3069306931,18157.66968,68.23,449
Quincy University,Quincy,IL,62301-2699,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,33.0,13.0,11.0,0.0,0.0,0.0,0.0,30.0,0.0,1075.0,21.53236246,0.5436893204,0.0614886731,0.8268608414,50437.83939,70.23,1121
Fortis College-Orange Park,Orange Park,FL,32065,Accrediting Council for Independent Colleges and Schools,1,2,1,2,3,21.0,4.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,312.0,29.542682927,0.8475609756,0.2886178862,0.256097561,15967.10174,69.55,5343
Southwestern Assemblies of God University,Waxahachie,TX,75165,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,4,2,21.0,11.0,10.0,0.0,0.0,0.0,0.0,27.0,0.0,1656.0,22.794651385,0.4756446991,0.1203438395,0.7631327603,41197.69899,74.29,3782
Trinity College of Florida,Trinity,FL,34655-4401,Association for Bibical Higher Educaiton,1,1,3,3,2,21.0,11.0,6.0,0.0,0.0,0.0,0.0,42.0,0.0,224.0,30.25,0.3947368421,0.2039473684,0.4934210526,23004.05138,68.12,849
Remington College-Little Rock Campus,Little Rock,AR,72204,Accrediting Commission of Career Schools and Colleges,0,18,1,2,2,12.0,4.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,180.0,27.527297807,0.7886597938,0.1719907071,0.2798751271,13413.43179,51.09,5307
Lake Michigan College,Benton Harbor,MI,49022-1899,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,41.0,5.0,9.0,0.0,0.0,0.0,0.0,-2.0,0.0,2980.0,25.512727273,0.6020779221,0.1366233766,0.5475324675,19045.23677,21.77,1816
Seattle University,Seattle,WA,98122-4340,Northwest Commission on Colleges and Universities,1,1,3,4,2,11.0,15.0,13.0,0.0,0.0,0.0,0.0,30.0,0.0,4415.0,21.174757282,0.6187702265,0.0388349515,0.8414239482,64389.97274,53.47,4036
Taylor Business Institute,Chicago,IL,60606,Accrediting Council for Independent Colleges and Schools,1,1,2,2,3,11.0,4.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,98.0,28.072727273,0.7636363636,0.0606060606,0.1878787879,6464.456623,100.0,1151
Drury University,Springfield,MO,65802-3791,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,12.0,9.0,13.0,0.0,0.0,0.0,0.0,-2.0,0.0,3790.0,26.627481714,0.6285266458,0.3072100313,0.4117032393,26552.6375,57.6,2030
Strayer University-Virginia,Arlington,VA,22201,Middle States Commission on Higher Education,0,80,3,4,3,12.0,5.0,12.0,0.0,0.0,0.0,0.0,-2.0,0.0,4448.0,32.888760139,0.7027283261,0.2359282278,0.0929807929,17778.53878,40.36,3958
Bryant & Stratton College-Parma,Parma,OH,44130-3151,Middle States Commission on Higher Education,0,18,2,3,3,21.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,541.0,29.343011019,0.7850687136,0.1701126656,0.243902439,13683.44656,88.62,2839
Washburn Institute of Technology,Topeka,KS,66604-2117,North Central Association of Colleges and Schools The Higher Learning Commission,0,2,1,1,1,12.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1217.0,24.777625727,0.5644885392,0.1238453644,0.5791994526,31021.38305,29.17,1369
Oxnard College,Oxnard,CA,93033-6699,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,2,2,1,12.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,6652.0,24.068209015,0.526525728,0.1001196649,0.6071001197,19780.8373,0.0,446
Millersville University of Pennsylvania,Millersville,PA,17551-0302,Middle States Commission on Higher Education,1,1,3,4,1,21.0,13.0,13.0,0.0,0.0,0.0,0.0,-2.0,0.0,7070.0,21.442893762,0.580461407,0.0361720308,0.8538877813,59366.25791,67.92,3296
Tabor College,Hillsboro,KS,67063-1799,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,3,2,33.0,13.0,8.0,0.0,0.0,0.0,0.0,43.0,0.0,708.0,23.058315335,0.475161987,0.1101511879,0.747300216,52343.31023,74.5,1389
NorthWest Arkansas Community College,Bentonville,AR,72712-5091,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,13.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,6568.0,24.875978783,0.5743874716,0.1848951755,0.5397827734,25353.29105,31.53,4489
Remington College-North Houston Campus,Houston,TX,77067,Accrediting Commission of Career Schools and Colleges,0,18,1,2,2,11.0,4.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,415.0,27.527297807,0.7886597938,0.1719907071,0.2798751271,13413.43179,55.06,5633
St Paul's School of Nursing-Queens,Rego Park,NY,11374,Accrediting Bureau of Health Education Schools,1,1,2,2,3,11.0,3.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,504.0,29.606643357,0.8601398601,0.208041958,0.222027972,27172.25341,80.24,2394
Brewton-Parker College,Mount Vernon,GA,30445,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,3,2,42.0,11.0,7.0,0.0,0.0,0.0,0.0,54.0,0.0,472.0,21.081794195,0.3773087071,0.055408971,0.8707124011,29721.10992,58.3,885
